Intersection_id,AM_count,PM_count
1,72,139
2,22,44
3,47,107
4,63,145
5,48,115
6,29,93
7,22,47
8,32,54
9,86,184
10,5,16
11,34,103
12,26,49
13,25,43
14,25,58
15,18,30
16,31,47
17,74,109
18,50,76
19,33,47
20,14,24
21,47,55
22,40,70
23,54,121
24,50,84
25,23,34
26,54,75
27,23,49
28,35,55
29,2,4
30,8,28
31,1,2
32,6,13
33,1,0
34,12,11
35,38,80
36,3,12
37,0,0
38,17,33
