Intersection_id,AM_count,PM_count
1,201,97
2,72,29
3,124,55
4,174,66
5,93,43
6,121,52
7,61,27
8,52,31
9,176,82
10,12,6
11,160,61
12,65,33
13,52,18
14,51,29
15,14,12
16,69,37
17,109,84
18,56,43
19,49,21
20,20,18
21,52,29
22,82,43
23,110,48
24,60,39
25,39,28
26,60,49
27,29,16
29,9,3
31,7,4
32,12,11
33,2,1
34,15,5
36,8,3
37,2,0
38,23,17
