Intersection_id,1_AM_count,2_AM_count,3_AM_count,4_AM_count,5_AM_count,6_AM_count,7_AM_count,8_AM_count,9_AM_count,10_AM_count,11_AM_count,12_AM_count,1_PM_count,2_PM_count,3_PM_count,4_PM_count,5_PM_count,6_PM_count,7_PM_count,8_PM_count,9_PM_count,10_PM_count,11_PM_count,12_PM_count
1,0,2,3,2,2,0,3,4,4,2,6,3,5,2,3,12,5,5,7,7,3,7,8,6
2,1,3,1,2,3,2,4,7,3,13,1,4,9,8,8,6,6,7,11,26,4,18,3,10
3,12,2,8,6,4,9,5,1,8,8,5,13,20,11,10,10,11,14,9,7,16,10,6,24
4,9,3,6,9,2,4,2,6,4,6,11,4,15,7,8,14,11,13,9,5,7,14,30,19
5,3,7,2,1,5,8,2,3,7,1,3,6,16,9,10,7,12,9,12,11,10,14,16,16
6,1,0,2,3,1,1,4,4,1,2,1,2,2,4,4,5,4,2,3,5,2,7,4,4
7,7,8,4,4,4,1,4,8,5,10,7,8,17,13,9,8,17,10,21,18,16,6,13,9
8,1,1,4,5,2,1,4,0,3,2,1,1,5,8,1,3,1,3,6,6,3,4,2,2
9,4,2,3,0,4,3,3,4,4,0,1,1,4,7,1,3,6,7,4,8,1,3,5,6
10,2,3,2,2,1,2,3,4,5,2,1,3,6,4,5,6,3,2,5,2,2,6,5,4
11,1,2,3,0,2,3,1,1,1,1,2,3,3,4,3,2,7,5,2,4,0,0,5,2
12,0,1,6,2,2,7,2,2,4,4,2,1,4,7,9,2,7,12,12,0,3,1,8,11
13,0,2,3,3,3,1,9,2,2,2,0,0,6,5,3,9,5,4,3,2,5,7,7,4
14,1,0,1,0,0,0,1,1,0,1,2,1,6,4,1,2,6,3,2,6,2,1,2,3
15,2,0,0,2,0,0,1,2,1,2,3,3,3,2,4,7,3,3,3,6,3,3,6,6
16,5,9,5,5,8,3,2,4,5,2,6,7,6,8,8,6,7,9,8,9,4,8,9,8
17,5,1,1,0,1,0,2,1,1,1,2,1,5,2,2,5,5,1,2,3,2,4,1,4
18,3,2,0,0,4,3,1,1,5,0,1,0,3,4,3,4,2,5,4,2,2,2,2,2
19,7,0,1,5,0,5,3,3,2,2,2,3,6,4,2,5,1,5,2,3,1,1,3,8
20,0,4,0,3,1,2,1,2,1,0,1,1,3,7,4,4,3,5,6,3,3,4,2,3
21,3,4,1,6,5,2,6,1,0,3,5,8,3,5,3,4,2,7,2,3,2,3,3,1
22,11,5,5,4,5,4,6,8,1,4,2,2,6,6,2,5,8,14,7,9,7,8,9,6
23,3,3,2,4,4,0,3,3,0,2,5,2,2,7,6,9,10,4,4,1,5,1,2,3
24,3,8,6,2,4,1,2,4,3,4,3,2,6,4,2,3,4,1,5,2,5,7,5,4
25,0,1,1,0,0,0,1,0,1,2,0,1,0,2,2,0,0,0,0,2,0,2,0,2
26,2,2,4,1,1,1,3,0,0,4,2,1,3,4,2,2,2,3,4,4,2,3,2,1
27,2,3,4,3,3,1,2,4,0,4,2,4,4,5,1,5,6,3,6,2,3,5,6,5
28,4,9,1,3,5,2,3,4,3,3,3,3,11,4,7,5,0,4,7,5,6,6,4,11
29,3,5,2,2,4,2,6,2,1,7,3,3,8,4,6,14,7,11,4,0,3,1,5,10
30,2,3,1,2,4,4,3,4,2,5,1,5,6,4,2,8,2,6,5,2,1,6,6,6
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32,1,1,0,1,1,0,0,3,0,1,1,0,1,0,1,1,0,1,1,2,0,1,2,0
33,4,1,1,1,3,3,4,3,5,5,1,5,14,8,9,3,4,6,9,3,1,4,3,4
34,1,1,1,1,0,2,0,1,4,2,3,0,2,2,2,3,2,0,0,3,2,0,3,2
35,2,0,2,1,0,0,3,0,2,1,3,5,2,1,4,0,2,1,2,4,2,0,0,1
36,1,0,3,1,1,0,2,1,2,3,0,1,2,1,2,3,3,3,3,2,2,1,3,1
37,1,2,1,6,3,1,7,4,4,6,4,1,4,3,4,8,8,4,4,5,4,3,4,5
38,1,1,4,1,3,1,0,4,3,1,1,0,7,0,4,7,1,7,4,4,5,6,5,3
