Intersection_id,AM_count,PM_count
1,62,112
2,18,34
3,57,100
4,82,166
5,58,119
6,22,60
7,22,51
8,32,61
9,51,141
10,12,38
11,37,77
12,15,37
13,22,38
14,29,61
15,14,25
16,21,39
17,89,98
18,45,84
19,35,43
20,29,48
21,15,25
22,29,57
23,60,132
24,39,64
25,26,37
26,40,66
27,20,35
28,28,65
29,5,6
30,6,15
31,2,3
32,9,12
33,0,2
34,9,24
35,52,77
36,4,5
37,1,1
38,16,16
