Intersection_id,Rd1_id,Rd2_id,Latitude,Longitude,Rd1_sp,Rd2_sp,Rd1_1_lane,Rd1_2_lane,Rd2_1_lane,Rd2_2_lane,lane_id,year,Big1_1_AM,Small1_1_AM,Scooter1_1_AM,PCU1_1_AM,Trun1_1_AM,Big1_2_AM,Small1_2_AM,Scooter1_2_AM,PCU1_2_AM,Trun1_2_AM,Big2_1_AM,Small2_1_AM,Scooter2_1_AM,PCU2_1_AM,Trun2_1_AM,Big2_2_AM,Small2_2_AM,Scooter2_2_AM,PCU2_2_AM,Trun2_2_AM,Big1_1_PM,Small1_1_PM,Scooter1_1_PM,PCU1_1_PM,Trun1_1_PM,Big1_2_PM,Small1_2_PM,Scooter1_2_PM,PCU1_2_PM,Trun1_2_PM,Big2_1_PM,Small2_1_PM,Scooter2_1_PM,PCU2_1_PM,Trun2_1_PM,Big2_2_PM,Small2_2_PM,Scooter2_2_PM,PCU2_2_PM,Trun2_2_PM
23,5,9,25.024853,121.543433,44,43,3,5,3,4,(ACBD),102,4,39,57,1201,15,2,40,58,3107,22,1,33,66,1998,17,3,51,46,1025,31,2,32,66,2176,12,2,42,56,2446,25,1,42,57,1173,19,2,38,60,2091,36
24,5,10,25.025709,121.537671,44,42,4,4,4,5,(ACBD),104,4,53,43,1497,21,3,40,57,1748,14,1,50,49,1646,26,1,78,21,1285,47,3,47,50,1578,18,4,46,50,1471,19,1,60,39,1065,27,1,61,38,1637,43
25,5,11,25.026083,121.534871,44,51,4,5,5,5,(ACBD),103,3,44,53,2113,22,2,30,68,2409,17,2,29,69,4561,20,5,49,46,1081,34,2,32,66,3016,15,3,40,57,1838,24,4,40,56,1598,37,2,38,60,1980,29
26,5,12,25.026885,121.525892,44,49,4,4,4,3,(ACBD),100,4,53,43,2208,30,2,24,74,2536,21,0,5,95,243,17,5,52,43,774,100,2,32,66,2678,20,3,34,63,1640,23,0,29,71,190,63,1,55,44,1996,100
27,5,13,25.027093,121.522466,44,45,4,3,4,4,(ACBD),102,4,49,47,2044,38,1,23,76,2953,5,2,32,66,3092,11,3,35,62,1531,8,2,30,68,3656,25,2,30,68,1546,10,3,37,60,1974,17,2,33,65,2586,8
29,14,4,25.024527,121.552507,44,44,3,3,3,3,(BDCF),102,3,41,56,1792,42,3,35,62,1417,55,1,27,72,3793,8,3,50,47,2882,22,5,39,56,1215,38,3,34,63,1992,47,2,37,61,1618,14,1,39,60,3783,19
31,14,6,25.019238,121.546585,44,44,5,5,5,4,(ACBD),103,1,25,74,2458,59,1,58,41,1710,76,1,30,69,4609,25,5,45,50,1351,36,1,41,58,1678,66,0,20,80,1915,65,3,44,53,2260,34,2,21,77,2932,26
32,14,15,25.017274,121.544364,44,30,1,1,5,4,(ACBD),99,1,39,60,223,92,1,57,42,70,61,2,21,77,3773,1,4,42,54,2105,5,0,42,58,193,94,1,49,50,113,61,3,41,56,1898,3,2,18,80,2577,1	
33,14,13,25.011246,121.537197,44,45,3,4,2,3,(DFAE),102,1,32,67,2502,14,2,26,72,2617,35,2,24,74,1808,38,1,21,78,4322,21,1,35,64,1820,27,1,26,73,3697,18,1,15,84,4382,32,2,23,75,1459,40
34,6,9,25.021319,121.543366,44,43,6,5,2,3,(ACBD),102,1,66,33,4986,47,1,66,33,3080,2,0,16,84,233,22,1,66,33,1105,93,1,75,24,3289,33,1,63,36,2709,0,0,30,70,121,39,1,44,55,1766,99
36,6,11,25.022485,121.534450,44,51,3,3,4,4,(ACBD),102,1,57,42,1134,50,2,41,57,1253,36,2,14,84,3443,25,5,49,46,991,28,0,35,65,1629,27,3,45,52,1002,42,4,31,65,1478,23,2,30,68,2077,23
37,6,13,25.019773,121.529279,44,45,4,4,4,4,(ACBD),100,2,69,29,1203,55,1,46,53,1472,26,3,34,63,2493,24,3,31,66,1545,24,1,43,56,1649,29,2,62,36,1130,27,3,34,63,2029,31,2,29,69,2749,26
38,13,11,25.016389,121.532680,45,51,5,5,1,5,(ACBD),102,5,34,61,4005,34,4,28,68,1807,7,0,10,90,1855,1,11,49,40,840,100,6,31,63,2870,30,3,33,64,2146,5,0,18,82,514,12,3,34,63,2545,100
