Intersection_id,AM_count,PM_count
1,31,70
2,44,116
3,81,148
4,66,152
5,48,142
6,22,46
7,70,157
8,25,44
9,29,55
10,30,50
11,20,37
12,33,76
13,27,60
14,8,38
15,16,49
16,61,90
17,16,36
18,20,35
19,33,41
20,16,47
21,44,38
22,57,87
23,31,54
24,42,48
25,7,10
26,21,32
27,32,51
29,40,73
31,0,2
32,9,10
33,36,68
34,16,21
36,15,26
37,40,56
38,20,53
