Intersection_id,1_AM_count,2_AM_count,3_AM_count,4_AM_count,5_AM_count,6_AM_count,7_AM_count,8_AM_count,9_AM_count,10_AM_count,11_AM_count,12_AM_count,1_PM_count,2_PM_count,3_PM_count,4_PM_count,5_PM_count,6_PM_count,7_PM_count,8_PM_count,9_PM_count,10_PM_count,11_PM_count,12_PM_count
1,12,2,5,9,3,4,6,7,4,5,6,9,9,11,11,10,16,8,21,8,4,12,18,11
2,3,5,2,0,0,2,3,3,1,1,1,1,2,3,4,2,6,3,4,2,2,7,2,7
3,4,2,8,3,3,4,7,6,3,4,0,3,5,10,7,8,6,6,6,15,14,7,14,9
4,5,1,4,6,4,7,5,9,7,4,7,4,17,9,11,11,7,6,16,14,12,14,11,17
5,2,1,2,9,6,4,5,4,5,4,4,2,7,4,10,6,19,13,8,6,11,8,10,13
6,0,2,3,1,4,1,2,5,3,3,2,3,5,7,8,5,5,8,9,6,9,18,5,8
7,1,1,1,1,3,0,4,0,5,0,1,5,4,4,4,2,4,6,2,7,3,3,4,4
8,4,0,6,4,1,4,2,2,0,1,3,5,5,0,4,6,7,2,7,4,8,4,3,4
9,5,3,8,8,7,5,6,10,8,7,10,9,9,14,13,17,9,9,20,20,11,21,20,21
10,0,0,0,1,2,1,0,0,1,0,0,0,1,1,0,0,0,3,1,1,4,2,1,2
11,1,0,3,5,5,3,4,5,2,1,1,4,13,5,8,5,9,10,4,8,4,25,3,9
12,1,5,0,2,3,2,4,3,1,2,1,2,4,4,2,4,3,3,2,7,3,3,5,9
13,2,2,1,4,3,4,1,2,1,3,0,2,2,0,4,4,3,7,6,2,3,5,1,6
14,1,3,3,1,1,6,2,2,1,0,1,4,3,6,4,8,8,4,6,5,4,4,3,3
15,2,2,0,2,4,2,0,1,1,1,2,1,2,4,3,2,3,2,5,3,1,3,1,1
16,2,2,3,2,3,3,1,2,2,5,1,5,6,1,3,1,2,7,3,3,4,5,6,6
17,7,4,7,5,8,8,8,2,4,7,4,10,8,9,9,8,9,7,11,8,12,7,14,7
18,4,4,7,3,6,5,3,1,4,5,4,4,5,7,7,9,9,7,6,5,5,4,7,5
19,1,2,2,4,0,3,2,2,5,6,4,2,5,2,3,4,2,5,5,5,6,4,2,4
20,1,1,0,2,2,1,0,2,0,1,1,3,1,1,1,1,4,6,0,3,2,1,3,1
21,3,7,0,3,7,3,4,6,5,3,2,4,3,1,6,4,5,8,4,6,1,5,7,5
22,7,0,3,0,4,5,5,1,5,4,3,3,7,4,5,4,5,5,4,6,4,13,2,11
23,4,3,4,5,8,2,6,4,7,3,7,1,10,10,11,10,6,13,8,7,14,10,14,8
24,4,4,4,5,2,5,6,4,1,2,4,9,4,8,7,7,6,5,8,6,5,8,7,13
25,1,1,2,1,0,0,3,4,2,2,3,4,4,2,4,1,3,2,5,2,3,1,5,2
26,4,1,4,5,7,4,5,9,2,6,3,4,8,4,9,6,8,5,9,6,4,7,5,4
27,2,0,1,2,0,0,4,1,5,5,2,1,6,2,6,4,4,4,6,3,3,3,2,6
28,5,1,2,2,4,3,3,6,1,2,3,3,7,7,5,0,1,5,6,4,7,6,1,6
29,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1
30,0,0,1,1,1,0,1,1,0,0,1,2,1,3,3,1,2,4,3,2,7,1,0,1
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32,0,0,0,0,0,1,0,1,2,0,1,1,3,0,0,0,0,0,0,1,3,1,2,3
33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,1,2,4,0,0,1,0,0,0,2,1,0,0,0,2,2,0,2,1,1,1,2,0
35,2,0,3,3,4,1,1,4,6,7,3,4,6,4,8,9,6,2,7,6,9,8,9,6
36,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,0,0,2,1,3,1,1,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,1,1,0,4,1,0,2,2,2,1,2,2,1,6,4,4,4,3,4,2,2,1,0
