Intersection_id,AM_count,PM_count
1,66,132
2,14,34
3,39,73
4,62,114
5,38,70
6,16,52
7,18,49
8,30,52
9,69,159
10,6,21
11,33,75
12,17,49
13,10,43
14,26,58
15,6,15
16,17,49
17,55,91
18,32,62
19,28,33
20,19,27
21,25,43
22,27,48
23,36,82
24,27,58
25,15,42
26,49,56
27,14,37
28,37,52
29,1,5
30,8,12
31,3,1
32,10,10
33,0,0
34,10,15
35,28,48
36,4,3
37,0,0
38,16,21
