Intersection_id,AM_count,PM_count
1,70,31
2,116,44
3,148,81
4,152,66
5,142,48
6,46,22
7,157,70
8,44,25
9,55,29
10,50,30
11,37,20
12,76,33
13,60,27
14,38,8
15,49,16
16,90,61
17,36,16
18,35,20
19,41,33
20,47,16
21,38,44
22,87,57
23,54,31
24,48,42
25,10,7
26,32,21
27,51,32
28,70,43
29,73,40
30,54,36
31,2,0
32,10,9
33,68,36
34,21,16
35,19,19
36,26,15
37,56,40
38,53,20
