Intersection_id,AM_count,PM_count
1,64,140
2,27,37
3,55,51
4,53,97
5,21,81
6,27,82
7,12,31
8,21,27
9,46,129
10,5,6
11,37,102
12,27,39
13,17,27
14,15,34
15,7,16
16,20,43
17,55,73
18,31,41
19,22,32
20,14,23
21,24,45
22,28,43
23,41,74
24,35,50
25,22,18
26,31,38
27,18,18
28,33,44
29,3,6
30,10,13
31,2,3
32,11,12
33,1,0
34,4,3
35,32,45
36,2,1
37,0,0
38,9,20
