CASE_NO,IEOK_01,ACCD_TP,Year,x_coord,y_coord
CG132439,10106111704,3,101,307876.7976,2774437.974
CG134029,10108211635,2,101,307876.7976,2774437.974
CG135372,10110091752,2,101,309386.721,2774437.984
CG133845,10108141820,3,101,307873.7975,2774438.974
CG135425,10112151150,3,101,307874.4976,2774438.974
CG133915,10108311245,3,101,307876.0976,2774438.974
CG135829,10111061910,3,101,307877.5976,2774438.974
CG133421,10108241710,3,101,307877.6976,2774438.974
CG129963,10103301930,2,101,307873.7663,2774439.474
CG129388,10103191242,3,101,307873.7663,2774439.474
CG129692,10103240855,2,101,307873.7663,2774439.474
CG111777,10103291525,3,101,307873.7663,2774439.474
CG129400,10103231718,2,101,307873.7663,2774439.474
CG128943,10103081810,3,101,307873.7663,2774439.474
CG127644,10101081810,2,101,307871.5975,2774439.974
CG129632,10102131425,3,101,307873.0975,2774439.974
CG134189,10110122058,2,101,307873.5975,2774439.974
CG130676,10104261721,3,101,307874.7976,2774439.974
CG130997,10104301015,3,101,307875.1976,2774439.974
CG128350,10110221806,2,101,307870.1975,2774440.974
CG132003,10107070615,2,101,307872.5975,2774440.974
CG131190,10105090900,3,101,307874.6976,2774440.974
CG134279,10110021600,3,101,307875.0976,2774440.974
CG127927,10101191555,2,101,307875.1976,2774440.974
CG131602,10105250814,3,101,307876.6976,2774440.974
CG129087,10101191330,2,101,307877.8976,2774440.975
CG130806,10104131015,3,101,308063.9005,2774440.976
CG135972,10112281340,2,101,308991.0149,2774440.982
CG130219,10105062100,2,101,307872.6975,2774441.974
CG128441,10101131800,2,101,307874.8976,2774441.975
CG135847,10111131420,3,101,307875.0976,2774441.975
CG131672,10106041710,2,101,307875.7976,2774441.975
CG129303,10102161834,3,101,307877.9976,2774441.975
CG135249,10111210850,2,101,307875.5976,2774442.975
CG129881,10104021815,2,101,307875.6976,2774442.975
CG129497,10102201555,2,101,307876.3976,2774442.975
CG134209,10109091615,2,101,307877.1976,2774442.975
CG131253,10105141005,3,101,307877.8976,2774442.975
CG134016,10110081550,3,101,307870.9975,2774443.975
CG129279,10104091200,3,101,307871.6975,2774443.975
CG128159,10101202120,3,101,307874.1976,2774443.975
CG137084,10112231620,2,101,307875.1976,2774443.975
CG133993,10109251745,3,101,307875.4976,2774443.975
CG133386,10109131555,3,101,307876.0976,2774443.975
CG128469,10102141440,2,101,307876.0976,2774443.975
CG131141,10105041015,2,101,307877.3976,2774443.975
CG133372,10109051735,2,101,312580.8705,2774444.005
CG136759,10112261348,2,101,307873.2976,2774444.975
CG135000,10110190900,2,101,308317.4045,2774444.977
CG133694,10109131753,3,101,308584.9086,2774444.979
C5125274,10107012000,3,101,301373.3969,2774445.932
CG134346,10110192005,3,101,307875.7976,2774445.975
CG132353,10106210815,2,101,308755.6112,2774445.98
C7141745,10111081900,3,101,305821.2658,2774446.961
CG134784,10109270725,2,101,308947.9142,2774448.982
C7138583,10107271538,3,101,305821.9658,2774450.961
CG128680,10102081030,2,101,308684.3102,2774450.98
CG135285,10110070611,3,101,310301.3353,2774459.991
CG130107,10103141625,2,101,310300.8962,2774461.863
CG127928,10101191936,2,101,307837.3971,2774461.975
CG132133,10106291400,2,101,310303.7353,2774461.991
CG134229,10110262308,2,101,310307.9354,2774461.991
CG130885,10105011740,2,101,308662.7099,2774462.98
CG128592,10101131245,2,101,310301.0353,2774462.991
CG131613,10105311105,2,101,310303.7354,2774464.991
CG132325,10106041345,2,101,310304.9354,2774465.991
C7133675,10107020900,2,101,304931.1522,2774468.956
C7132382,10107072150,2,101,304936.7522,2774468.956
C7138238,10107231750,3,101,304939.0523,2774469.956
CG135581,10112281330,2,101,309541.6236,2774471.986
CG129955,10103240039,3,101,309538.6986,2774472.486
C7131824,10105041836,2,101,305424.3598,2774472.959
C7135506,10101130111,3,101,305425.0598,2774472.959
CG131659,10105262330,2,101,308082.601,2774472.976
C7137079,10102252100,2,101,305497.061,2774473.959
C7139494,10110121540,2,101,305457.2603,2774474.959
CG132254,10107041958,3,101,308080.501,2774474.976
CG135072,10110020920,3,101,309543.2236,2774474.986
CG134080,10109241537,3,101,307819.1969,2774475.975
CG130232,10105271845,2,101,309536.7235,2774475.986
CG130674,10104252051,2,101,309540.6236,2774475.986
C7133861,10106111330,3,101,305561.362,2774476.96
CG136150,10112201825,2,101,308082.901,2774476.976
C7138377,10108310720,3,101,305564.162,2774477.96
C7136111,10103112129,2,101,305349.2274,2774478.709
C7140431,10111061318,3,101,305563.162,2774478.96
C7133341,10105230647,2,101,305565.8621,2774478.96
C7137322,10107111316,3,101,305566.5621,2774478.96
C7137311,10107051558,3,101,305568.3621,2774478.96
C7135300,10101062000,3,101,305564.762,2774479.96
CG136092,10111041030,3,101,308087.0011,2774479.976
CG132371,10106291100,2,101,309514.6232,2774479.986
C7140976,10112051040,2,101,305351.2587,2774480.959
C7138445,10110041505,3,101,305562.362,2774480.96
C7137237,10106201435,3,101,305564.262,2774480.96
C7137312,10107051815,3,101,305126.9553,2774481.957
C7140584,10109281850,3,101,305566.0621,2774481.96
CG130122,10103252145,2,101,309511.5147,2774482.514
C7139841,10109031822,2,101,305564.1621,2774482.96
C7142698,10112141100,3,101,305567.2621,2774482.96
C7132768,10106040936,3,101,305570.2621,2774482.96
CG129973,10104042120,2,101,309515.1233,2774482.986
C7141663,10112081316,3,101,305153.9557,2774483.957
CG128598,10101171840,2,101,307377.2901,2774483.972
CG135892,10112022214,3,101,309512.8232,2774483.986
CG133298,10109012128,3,101,310565.8395,2774483.993
CG130123,10103220920,2,101,309511.4955,2774484.567
CG128833,10101111835,2,101,308258.5038,2774484.978
CG131183,10105031658,3,101,309514.7233,2774484.986
CG129987,10104121810,3,101,309512.5232,2774485.986
CG126467,10102170740,3,101,310563.4395,2774485.993
C7135997,10102101357,2,101,305146.1556,2774486.957
C7139445,10110060845,3,101,305567.2621,2774486.96
CG133482,10108041613,2,101,309510.3232,2774486.986
CG130144,10104080500,3,101,309515.1233,2774486.986
CG133672,10108241330,2,101,310564.6395,2774487.993
CG134671,10111200830,2,101,310561.1395,2774488.993
CG130892,10105081510,2,101,310562.8395,2774488.993
CG135104,10110151815,2,101,309511.4232,2774489.986
CG135897,10112231312,2,101,309517.4233,2774489.986
CG129830,10102211730,2,101,309514.3233,2774490.986
CG136914,10112202225,2,101,309514.3233,2774490.986
CG130869,10104191450,2,101,309515.1233,2774491.986
CC133757,10111050530,2,101,302562.0156,2774492.941
C5125350,10106291655,2,101,302566.0157,2774492.941
CC134047,10110261613,2,101,302566.1157,2774492.941
C7138865,10108010128,3,101,305023.2537,2774492.957
CC132883,10111031200,2,101,302570.7158,2774493.941
CG128840,10101190715,3,101,309512.0233,2774493.986
C5123934,10111280910,2,101,302562.9156,2774494.941
C5107086,10102031830,2,101,302564.6157,2774494.941
C5125522,10108240919,2,101,302566.8157,2774494.941
CC128442,10103301620,3,101,302563.7157,2774495.941
CC133615,10110180859,2,101,302561.1156,2774496.941
C5125480,10107041740,3,101,302561.8156,2774496.941
C5107084,10102010915,2,101,302562.2156,2774496.941
