CASE_NO,IEOK_01,ACCD_TP,Year,x_coord,y_coord
CG126134,10011101910,2,100,306030.1,2771316
CF106170,10011120345,2,100,303810.3,2765300
CE105143,10011261231,2,100,305314.5,2764571
C5116012,10009030900,2,100,301169.5,2772697
CB117494,10011301420,3,100,305242.8,2771410
C6114145,10007010013,2,100,299692.1,2769026
C8127677,10012270200,2,100,305283.3,2769678
CC125340,10011211530,3,100,301779.5,2775926
CI115597,10004080855,2,100,306989.4794,2770961.149
CH106477,10010120630,3,100,309048.3,2770640
C8119143,10002232325,2,100,305329.0282,2769263.928
C9112425,10007141825,3,100,301143.8,2771333
CI120600,10009131050,3,100,306114.6,2770662
C7124207,10003251727,2,100,303163.4375,2772529.25
CF105348,10003171400,2,100,303749.9038,2765926.882
CG125169,10008251112,2,100,306028.7,2771314
CH104992,10002071620,2,100,309119.2813,2772181.75
C7130763,10011012315,3,100,301991.2,2772185
C5120260,10011241330,2,100,300536,2774070
C5113698,10008172015,3,100,306023.7,2771313
C8123497,10007271410,3,100,303574.6,2770656
CF106284,10011190905,2,100,306028.8,2771318
CG125289,10010020910,3,100,310697.6,2774160
C8127244,10011112130,3,100,304856.3,2770281
C5114187,10003301400,2,100,300800.4073,2772048.127
CB119934,10012200935,2,100,306024.3,2771316
CD118792,10012260545,2,100,300656.5,2778599
CA108552,10006271645,2,100,302438.9752,2768093.834
C8119423,10001071245,2,100,304366.9886,2768225.003
CH106062,10008251255,2,100,306026.7,2771316
CH104395,10007221410,2,100,307971.8,2771231
C7123069,10002211419,3,100,302845.7188,2772150.75
C7128634,10008291326,2,100,303450.9,2771332
CG121915,10003211140,2,100,308186.3388,2773594.254
CB114947,10005021455,3,100,305932.7399,2771626.279
C6113670,10008190650,2,100,300086.1,2769942
C9113120,10003010740,3,100,301132.9918,2771267.01
C7129264,10009141227,3,100,303094.6,2773031
CC121791,10006042340,2,100,302992.9237,2777310.167
CC120388,10005241428,3,100,302908,2779823.5
CI121794,10010191856,3,100,305698.6,2769907
CC122232,10005190003,3,100,301284.6058,2776154.688
